iter	Passed	Remaining
0	1265	631592
1	2449	609869
2	3415	565839
3	4454	552411
4	5400	534619
5	6443	530492
6	7523	529859
7	8294	510106
8	9370	511239
9	10196	499617
10	10999	488989
11	11867	482592
12	12979	486231
13	13926	483452
14	14804	478677
15	15672	474104
16	16386	465563
17	17177	459963
18	18206	460914
19	19190	460565
20	20181	460331
21	21129	459080
22	22134	459054
23	23024	456644
24	23927	454628
25	24856	453160
26	25742	450972
27	26952	454339
28	28157	457317
29	29368	460110
30	30660	463871
31	31732	464085
32	32794	464091
33	33789	463109
34	34658	460465
35	35711	460287
36	36835	460943
37	37872	460450
38	38834	459038
39	39875	458562
40	41171	460915
41	42214	460341
42	43274	459914
43	44256	458658
44	45440	459451
45	46512	459057
46	47555	458356
47	48492	456636
48	49508	455678
49	50847	457625
50	52116	458833
51	53313	459319
52	54312	458073
53	55438	457877
54	56487	457038
55	57448	455483
56	58382	453741
57	59361	452374
58	60244	450302
59	61098	448055
60	61971	445989
61	62899	444353
62	63728	442050
63	64626	440265
64	65597	438997
65	66551	437623
66	67513	436317
67	68428	434721
68	69375	433345
69	70421	432590
70	71397	431399
71	72320	429905
72	73123	427724
73	74025	426147
74	74986	424922
75	75914	423523
76	76961	422789
77	78196	423065
78	79212	422130
79	80138	420724
80	81123	419636
81	82064	418327
82	83009	417048
83	83854	415277
84	84755	413807
85	85737	412735
86	86679	411477
87	87578	410024
88	88431	408376
89	89278	406713
90	90186	405345
91	91065	403855
92	91885	402123
93	92758	400637
94	93625	399138
95	94472	397571
96	95459	396599
97	96349	395229
98	97292	394082
99	98161	392644
100	98998	391092
101	99847	389601
102	100667	388010
103	101425	386197
104	102254	384670
105	103046	383021
106	103822	381327
107	104594	379638
108	105347	377898
109	106170	376420
110	107116	375391
111	108017	374203
112	108934	373076
113	109871	372019
114	110808	370968
115	111835	370212
116	112855	369433
117	113834	368515
118	114938	367996
119	115975	367256
120	116970	366380
121	117837	365104
122	118828	364213
123	119721	363026
124	120589	361769
125	121439	360463
126	122247	359042
127	123053	357622
128	123885	356292
129	124722	354980
130	125503	353516
131	126417	352436
132	127412	351581
133	128404	350716
134	129411	349890
135	130320	348799
136	131190	347607
137	132124	346588
138	133116	345719
139	134154	344968
140	135219	344281
141	136205	343391
142	137199	342519
143	138170	341587
144	139097	340548
145	139960	339356
146	140913	338383
147	141954	337621
148	142918	336674
149	143863	335682
150	144711	334465
151	145647	333455
152	146543	332356
153	147542	331490
154	148512	330560
155	149455	329568
156	150301	328364
157	151199	327279
158	152221	326462
159	153260	325679
160	154218	324721
161	155279	323979
162	156297	323143
163	157263	322198
164	158321	321440
165	159291	320502
166	160124	319289
167	161105	318375
168	162011	317312
169	162823	316070
170	163678	314913
171	164658	314000
172	165550	312918
173	166479	311910
174	167426	310934
175	168282	309792
176	169267	308889
177	170227	307938
178	171342	307267
179	172228	306183
180	173063	305012
181	173917	303877
182	174779	302760
183	175582	301544
184	176392	300344
185	177178	299106
186	177961	297870
187	178809	296748
188	179808	295875
189	180825	295030
190	181926	294321
191	183003	293567
192	184054	292770
193	185179	292086
194	186270	291346
195	187322	290541
196	188315	289642
197	189445	288952
198	190401	287993
199	191569	287353
200	192661	286595
201	193520	285490
202	194357	284355
203	195241	283291
204	196031	282094
205	196804	280876
206	197587	279676
207	198390	278510
208	199230	277397
209	200071	276289
210	200839	275083
211	201614	273891
212	202386	272699
213	203213	271584
214	204052	270488
215	204926	269440
216	205723	268293
217	206483	267102
218	207293	265979
219	208074	264821
220	208869	263685
221	209656	262542
222	210416	261368
223	211279	260325
224	212112	259248
225	212908	258128
226	213440	256692
227	213958	255248
228	214477	253814
229	215001	252393
230	215525	250980
231	216041	249565
232	216571	248174
233	217109	246799
234	217672	245460
235	218216	244106
236	218738	242735
237	219278	241390
238	219785	240016
239	220299	238658
240	220858	237354
241	221373	236010
242	221889	234672
243	222433	233372
244	222958	232058
245	223527	230796
246	224067	229510
247	224571	228193
248	225093	226901
249	225618	225618
250	226140	224338
251	226679	223081
252	227264	221874
253	227846	220670
254	228438	219480
255	229031	218295
256	229639	217130
257	230212	215935
258	230779	214741
259	231384	213586
260	231972	212419
261	232551	211248
262	233152	210103
263	233720	208932
264	234295	207771
265	234879	206623
266	235444	205463
267	236016	204312
268	236603	203179
269	237175	202038
270	237787	200934
271	238409	199842
272	238959	198694
273	239538	197575
274	240117	196459
275	240685	195339
276	241272	194237
277	241840	193124
278	242427	192030
279	243033	190954
280	243605	189856
281	244196	188776
282	244766	187683
283	245332	186591
284	245951	185542
285	246545	184478
286	247138	183416
287	247793	182403
288	248413	181367
289	249053	180348
290	249715	179348
291	250349	178331
292	250932	177280
293	251579	176276
294	252157	175227
295	252750	174192
296	253383	173187
297	253981	172162
298	254576	171136
299	255175	170117
300	255810	169123
301	256465	168146
302	257071	167138
303	257681	166136
304	258276	165127
305	258868	164119
306	259482	163127
307	260144	162168
308	260771	161188
309	261437	160236
310	262054	159255
311	262679	158280
312	263291	157302
313	263881	156312
314	264493	155337
315	265112	154369
316	265717	153395
317	266319	152421
318	266961	151473
319	267539	150491
320	268155	149532
321	268815	148600
322	269427	147643
323	270032	146684
324	270638	145728
325	271286	144796
326	271923	143861
327	272534	142914
328	273143	141968
329	273786	141041
330	274392	140097
331	275007	139160
332	275623	138225
333	276220	137283
334	276847	136357
335	277407	135401
336	277986	134456
337	278613	133536
338	279176	132588
339	279743	131643
340	280356	130723
341	280961	129800
342	281522	128860
343	282126	127941
344	282706	127012
345	283306	126096
346	283866	125162
347	284409	124224
348	285001	123310
349	285620	122408
350	286216	121499
351	286820	120594
352	287516	119730
353	288214	118867
354	288915	118007
355	289570	117129
356	290246	116261
357	290962	115409
358	291602	114529
359	292325	113682
360	292993	112814
361	293649	111943
362	294357	111093
363	294990	110216
364	295665	109355
365	296379	108510
366	297031	107643
367	297697	106782
368	298449	105953
369	299095	105087
370	299757	104228
371	300457	103383
372	301113	102523
373	301770	101665
374	302440	100813
375	303143	99972
376	303850	99134
377	304528	98286
378	305214	97443
379	305879	96593
380	306559	95749
381	307234	94904
382	307852	94043
383	308442	93175
384	309093	92326
385	309679	91459
386	310260	90592
387	310921	89750
388	311518	88890
389	312098	88027
390	312708	87174
391	313355	86332
392	313971	85483
393	314569	84630
394	315139	83771
395	315726	82918
396	316355	82077
397	316961	81231
398	317595	80393
399	318173	79543
400	318774	78700
401	319439	77873
402	320109	77048
403	320710	76208
404	321322	75371
405	321982	74547
406	322700	73737
407	323369	72916
408	324013	72091
409	324762	71289
410	325436	70471
411	326127	69658
412	326824	68846
413	327520	68035
414	328226	67227
415	328919	66416
416	329588	65601
417	330285	64792
418	330987	63985
419	331627	63167
420	332304	62356
421	332945	61539
422	333562	60719
423	334236	59910
424	334952	59109
425	335634	58302
426	336290	57492
427	336940	56681
428	337615	55875
429	338325	55076
430	339015	54274
431	339702	53471
432	340339	52662
433	340975	51853
